Tweet,Sentiment Score,Subjectivity Score
RT Giveaway Time Win A HP Steam Laptop Fast entry here Ends Friday 23 8 19 freebiefriday giveaw,0.6,0.5
Sir it has been almost a month Govt Of India not even acknowledged mail resulting Indigo leing n misrepresenting fa,0.0,0.0
Hp Laptop batterys black Price 100 00 Ends on 2019 07 04 03 19 12 View and Buy on,-0.16666666666666666,0.43333333333333335
HP 15t Whiskey Lake Core i7 Quad 16 Touch Laptop for 550 free shipping,0.4,0.8
Sadly forgot about the built in microphone,-0.5,1.0
I have a laptop hp omen The characters are broken automatically Still on warranty The reason is the man,-0.4,0.4
RT HP DS1000TU Windows Laptop with SSD and MS Office Windows 10 Original MS Office 2016 Licensed Fast Charger Ful,0.2875,0.675
Brand New 15inch HP touchscreen laptop for sale HMU if you want it first come first serve,0.23295454545454544,0.3737373737373737
FOR SALE N65K laptops4developers laptop laptopforsale laptopusers Description HP Laptop 96 series Pavilion,0.0,0.0
HP Stream 11 ah006na 11 6 Inch Laptop Violet Purple Intel Celeron N3060 2 GB RAM 32 GB eMMC Office 365 and,0.0,0.0
UNBEATABLE PRICE HP Omen i7 8750H 17 3 Laptop 12GB RAM 128GB SSD Win 10,0.0,0.0
Just added to Best Buy HP ProBook x360 2 in 1 11 6 Touch Screen Laptop Intel Pentium 8GB Memory 128GB So,1.0,0.3
RT campaign targets GenZ w added webcam security amp laptop flexibility via,0.0,0.0
I have a PC and a laptop from hp I bought the laptop thinking it can render as it has a sufficiently powe,0.0,0.0
I have purchase new laptop on april from day 1 facing issue with laptop contin,0.13636363636363635,0.45454545454545453
HP DS1000TU Windows Laptop with SSD and MS Office Windows 10 Original MS Office 2016 Licensed Fast Charger,0.2875,0.675
campaign targets GenZ w added webcam security amp laptop flexibility via,0.0,0.0
HP Pavilion Ryzen 5 Quad 16 Touch Laptop w 256GB SSD for 510 free shipping,0.4,0.8
I had a windows 7 Laptop I purchased a HP Windows 10 Desktop a month ago I did not want,0.0,0.0
Selling the old laptop if you want it laptopforsale ukonly,0.125,0.2
RT Giveaway Time Win A HP Steam Laptop Fast entry here Ends Friday 23 8 19 freebiefriday giveaw,0.6,0.5
Trying to win this sweet gaming laptop from Check it out giveaway win,0.61875,0.525
RT Giveaway Time Win A HP Steam Laptop Fast entry here Ends Friday 23 8 19 freebiefriday giveaw,0.6,0.5
Im on a HP laptop on the website for discord and it wont load or if it does load it gives me a 502 bad gateway,-0.6999999999999998,0.6666666666666666
RT Giveaway Time Win A HP Steam Laptop Fast entry here Ends Friday 23 8 19 freebiefriday giveaw,0.6,0.5
RT Giveaway Time Win A HP Steam Laptop Fast entry here Ends Friday 23 8 19 freebiefriday giveaw,0.6,0.5
Honestly I think hp elitebooks might be something to look into Good performance a,0.6499999999999999,0.75
FF Creative s ad for HP s latest Spectre laptop presents a selection of SFW visual euphemisms for all those intimat,0.3333333333333333,0.6333333333333333
RT Giveaway Time Win A HP Steam Laptop Fast entry here Ends Friday 23 8 19 freebiefriday giveaw,0.6,0.5
I own an HP 360 touchscreen Laptop,0.6,1.0
RT Giveaway Time Win A HP Steam Laptop Fast entry here Ends Friday 23 8 19 freebiefriday giveaw,0.6,0.5
will my HP ENVY x360 15 bq213cl usb c port charge the laptop Considering docking station,0.0,0.0
I would like to know if I buy a HP laptop from your Bokaro store will I be able to avail benefits,0.5,0.625
I d love to help May I have the exact serial and product number of your laptop Use this link,0.4375,0.425
NEW HP 255 G6 15 6 HD business Laptop AMD Dual 4GB RAM 1TB HDD DVDRW Win 10 Pro Best Seller 247 95,0.5681818181818181,0.37727272727272726
Trying to win this sweet gaming laptop from Check it out giveaway win,0.61875,0.525
15 6 HP 255 HD business Laptop DVD RW AMD 2 Cores 8GB DDR4 1TB HDD Win 10 Pro Check It Out 268 29,0.0,0.0
HP 15 db0599sa Laptop 15 6 AMD A6 4 GB RAM 1 TB HDD Windows 10 Click now 299 00,0.0,0.0
Hi I studied English Language School Kwara state university I m a freelance writer I use,0.0,0.0
An HP laptop a Galaxy smartphone amp wireless headphones could be yours for free,0.4,0.8
certified used HP spectre or ENVY 13 world slimmest laptop 256gb SSD 8gb RAM i5 N280 000 i7 N300 000 RT,0.0,0.0
RT Trying to win this sweet gaming laptop from Check it out giveaway win pcgamers,0.6791666666666667,0.4833333333333334
hi my laptop is glitching and I can t get to my Hp support app I m using the touchpad but it s like,0.0,0.0
hp laptop technical support number hp pavilion support number laptop support number for hp,0.0,0.0
HP 15t Whiskey Lake Core i7 Quad 16 Laptop for 480 free shipping,0.4,0.8
I don t know who needs to hear this but that last mystery device manager entry in that HP laptop you just reinstall,0.0,0.06666666666666667
Nearing a week of awaiting resolution related to selling me a second hand laptop at the price of a ne,0.0,0.4
Things To Keep In Mind Before Buying A Laptop To Enjoy After Sales Service laptop newlaptop aftersaleservice,0.625,0.5
Laptop HP Pavilion x360 Core i3 8th Gen 14 inch Touchscreen 2 in 1 Thin amp Light Laptop Te,0.0,0.775
minionmovie SMEUK minionbanana Fancy Minions Vinyl Skin For Macbook Air Retina Pro HP Dell Asus Lenovo Laptop,0.0,0.0
My current lineup iphone 7 shit hp elitebook laptop not shit custom built desktop thats it,-0.03333333333333333,0.6666666666666666
Just went through my closet anyone wanna cop any of this Xbox one Scuf Xbox 360 HP Laptop Astro a40 TR Keyboard A,0.0,0.0
RT Stupidity is when you have a HP laptop and use apple sticker to cover the back,-0.3,0.5
Trying to win this sweet gaming laptop from Check it out giveaway win,0.61875,0.525
I am really sorry to say this but buying an HP laptop was one of my worst decisions ever It has been 9 months,-0.75,1.0
RT Giveaway Time Win A HP Steam Laptop Fast entry here Ends Friday 23 8 19 freebiefriday giveaw,0.6,0.5
I needed to repair my laptop so I went through the HP website in order to find the service centre detail,0.0,0.0
HP ENVY 17t Whiskey Lake i7 Quad 17 Laptop w 512GB SSD for 1 000 free shipping,0.4,0.8
Mid 2011 hp laptop checking in,0.0,0.0
Stupidity is when you have a HP laptop and use apple sticker to cover the back,-0.3,0.5
HP 15t 5HH94AV 1 15 6 Laptop with 8th Gen Core i7 8GB RAM 128GB SSD 489 99,0.0,0.0
So has Sent me a defective laptop Told me they d call back within 24 hours of reporting the issue at my prefer,0.0,0.0
RT Giveaway Time Win A HP Steam Laptop Fast entry here Ends Friday 23 8 19 freebiefriday giveaw,0.6,0.5
RT We promised you daily GIVEAWAYS and we re delivering Day 3 Stand a chance to be among the lucky participants to WIN,0.16666666666666666,0.4166666666666667
RT tope15 Hi I studied English Language School Kwara state university I m a freelance writer I use my pho,0.0,0.0
Is your school district using HP laptops Keep trck of them with this chalkboard laptop skin with district seal,0.0,0.0
HP 4th of July Killer Deals 780 OFF On AMD Vega Laptop For 519 NVIDIA GTX 1650 Laptop For 750 And More Wccf,0.625,0.5
RT tope15 Hi I studied English Language School Kwara state university I m a freelance writer I use my pho,0.0,0.0
RT OLED laptops are an idea whose time has come,0.0,0.0
RT tope15 Hi I studied English Language School Kwara state university I m a freelance writer I use my pho,0.0,0.0
x Tbf I use a HO pavilion but that s a cost of 900 due to the software I need But for cheap look at,0.1375,0.5375
how can i trace a stolen registered hp laptop,0.0,0.0
Just arrived Hp laptop with broken hinges repairam wefix gadgetrepair gadgetdoctors pickup repair deliver,-0.4,0.4
RT ALI SON I just need an AKAI MIDI KEYBOARD A New hp laptop and a Sound Card,0.2681818181818182,0.42727272727272725
HP Pavilion 12 x2 Review Best Budget Laptop with Premium Feel via,1.0,0.3
The news of Asus ROG Phone 2 to ship with a 120Hz display is great news for smartphone lovers asus samsung,0.8,0.75
HP 15 6 fhd touchscreen Laptop I5 8250U 1TB 12GB Camera,0.0,0.0
HP 14 stream Laptop Celeron N4000 64GB 4GB HD bluetooth,0.0,0.0
Great article featuring outlining the new campaign and why behind the work So proud to be a part of,0.3340909090909091,0.7261363636363636
I just need an AKAI MIDI KEYBOARD A New hp laptop and a Sound Card,0.2681818181818182,0.42727272727272725
Please help me win this Sweet Gaming Laptop Contest by,0.61875,0.525
RT Ak Then stop telling them your laptop specs are Black HP,-0.16666666666666666,0.43333333333333335
Then stop telling them your laptop specs are Black HP,-0.16666666666666666,0.43333333333333335
RT Giveaway Time Win A HP Steam Laptop Fast entry here Ends Friday 23 8 19 freebiefriday giveaw,0.6,0.5
RT Giveaway Time Win A HP Steam Laptop Fast entry here Ends Friday 23 8 19 freebiefriday giveaw,0.6,0.5
Sir it has been almost a month Govt Of India not even acknowledged mail resulting Indigo leing n misrepresenting fa,0.0,0.0
Hp Laptop batterys black Price 100 00 Ends on 2019 07 04 03 19 12 View and Buy on,-0.16666666666666666,0.43333333333333335
HP 15t Whiskey Lake Core i7 Quad 16 Touch Laptop for 550 free shipping,0.4,0.8
Sadly forgot about the built in microphone,-0.5,1.0
I have a laptop hp omen The characters are broken automatically Still on warranty The reason is the man,-0.4,0.4
RT HP DS1000TU Windows Laptop with SSD and MS Office Windows 10 Original MS Office 2016 Licensed Fast Charger Ful,0.2875,0.675
Brand New 15inch HP touchscreen laptop for sale HMU if you want it first come first serve,0.23295454545454544,0.3737373737373737
FOR SALE N65K laptops4developers laptop laptopforsale laptopusers Description HP Laptop 96 series Pavilion,0.0,0.0
UNBEATABLE PRICE HP Omen i7 8750H 17 3 Laptop 12GB RAM 128GB SSD Win 10,0.0,0.0
Just added to Best Buy HP ProBook x360 2 in 1 11 6 Touch Screen Laptop Intel Pentium 8GB Memory 128GB So,1.0,0.3
RT campaign targets GenZ w added webcam security amp laptop flexibility via,0.0,0.0
I have a PC and a laptop from hp I bought the laptop thinking it can render as it has a sufficiently powe,0.0,0.0
I have purchase new laptop on april from day 1 facing issue with laptop contin,0.13636363636363635,0.45454545454545453
HP DS1000TU Windows Laptop with SSD and MS Office Windows 10 Original MS Office 2016 Licensed Fast Charger,0.2875,0.675
campaign targets GenZ w added webcam security amp laptop flexibility via,0.0,0.0
HP Pavilion Ryzen 5 Quad 16 Touch Laptop w 256GB SSD for 510 free shipping,0.4,0.8
I had a windows 7 Laptop I purchased a HP Windows 10 Desktop a month ago I did not want,0.0,0.0
Selling the old laptop if you want it laptopforsale ukonly,0.125,0.2
RT Giveaway Time Win A HP Steam Laptop Fast entry here Ends Friday 23 8 19 freebiefriday giveaw,0.6,0.5
Trying to win this sweet gaming laptop from Check it out giveaway win,0.61875,0.525
RT Giveaway Time Win A HP Steam Laptop Fast entry here Ends Friday 23 8 19 freebiefriday giveaw,0.6,0.5
Im on a HP laptop on the website for discord and it wont load or if it does load it gives me a 502 bad gateway,-0.6999999999999998,0.6666666666666666
RT Giveaway Time Win A HP Steam Laptop Fast entry here Ends Friday 23 8 19 freebiefriday giveaw,0.6,0.5
RT Giveaway Time Win A HP Steam Laptop Fast entry here Ends Friday 23 8 19 freebiefriday giveaw,0.6,0.5
Honestly I think hp elitebooks might be something to look into Good performance a,0.6499999999999999,0.75
FF Creative s ad for HP s latest Spectre laptop presents a selection of SFW visual euphemisms for all those intimat,0.3333333333333333,0.6333333333333333
RT Giveaway Time Win A HP Steam Laptop Fast entry here Ends Friday 23 8 19 freebiefriday giveaw,0.6,0.5
I own an HP 360 touchscreen Laptop,0.6,1.0
RT Giveaway Time Win A HP Steam Laptop Fast entry here Ends Friday 23 8 19 freebiefriday giveaw,0.6,0.5
will my HP ENVY x360 15 bq213cl usb c port charge the laptop Considering docking station,0.0,0.0
I would like to know if I buy a HP laptop from your Bokaro store will I be able to avail benefits,0.5,0.625
I d love to help May I have the exact serial and product number of your laptop Use this link,0.4375,0.425
NEW HP 255 G6 15 6 HD business Laptop AMD Dual 4GB RAM 1TB HDD DVDRW Win 10 Pro Best Seller 247 95,0.5681818181818181,0.37727272727272726
Trying to win this sweet gaming laptop from Check it out giveaway win,0.61875,0.525
15 6 HP 255 HD business Laptop DVD RW AMD 2 Cores 8GB DDR4 1TB HDD Win 10 Pro Check It Out 268 29,0.0,0.0
HP 15 db0599sa Laptop 15 6 AMD A6 4 GB RAM 1 TB HDD Windows 10 Click now 299 00,0.0,0.0
Hi I studied English Language School Kwara state university I m a freelance writer I use,0.0,0.0
An HP laptop a Galaxy smartphone amp wireless headphones could be yours for free,0.4,0.8
certified used HP spectre or ENVY 13 world slimmest laptop 256gb SSD 8gb RAM i5 N280 000 i7 N300 000 RT,0.0,0.0
RT Trying to win this sweet gaming laptop from Check it out giveaway win pcgamers,0.6791666666666667,0.4833333333333334
hi my laptop is glitching and I can t get to my Hp support app I m using the touchpad but it s like,0.0,0.0
hp laptop technical support number hp pavilion support number laptop support number for hp,0.0,0.0
HP 15t Whiskey Lake Core i7 Quad 16 Laptop for 480 free shipping,0.4,0.8
Nearing a week of awaiting resolution related to selling me a second hand laptop at the price of a ne,0.0,0.4
Things To Keep In Mind Before Buying A Laptop To Enjoy After Sales Service laptop newlaptop aftersaleservice,0.625,0.5
Laptop HP Pavilion x360 Core i3 8th Gen 14 inch Touchscreen 2 in 1 Thin amp Light Laptop Te,0.0,0.775
RT Giveaway Time Win A HP Steam Laptop Fast entry here Ends Friday 23 8 19 freebiefriday giveaw,0.6,0.5
I ve got a pretty sweet laptop collection Thanks to you I m going to upgrade them all to the m,0.26666666666666666,0.6166666666666666
HP 4th of July Killer Deals 780 OFF On AMD Vega Laptop For 519 NVIDIA GTX 1650 Laptop For 750 And More,0.0,0.0
I need a HP laptop for studies and gaming ofc Buy me a laptop to show your love lol,0.65,0.6499999999999999
Jasa Instal Service Nb Laptop Pc Hp Android dan Blackberry,0.0,0.0
RT So it s here HP has just launched Omen x 2s laptop in India,0.0,0.0
HP ProBook 450 G3 15 6 Laptop with massive spec available this week from 295 99 RefurbishedLaptop,0.25,0.7
NEW HP Stream 14 Laptop Celeron N3060 4GB RAM 32GB 32 GB eMMC Windows 10 Price 219 99,0.13636363636363635,0.45454545454545453
Average Sentmient Score,0.1951736158578264
Average Subjectivity Score,0.36424120908331414
